date,open,close,high,low,volume,code
2018-06-07,48.75,47.98,48.86,47.92,564428.0,000651
2018-06-08,47.95,48.15,48.73,47.75,734040.0,000651
2018-06-11,48.7,48.93,49.48,48.23,880368.0,000651
2018-06-12,49.16,50.4,50.58,48.95,1010233.0,000651
2018-06-13,50.2,49.88,50.76,49.75,565320.0,000651
2018-06-14,49.93,48.94,50.23,48.65,607917.0,000651
2018-06-15,49.02,49.01,49.55,48.6,449822.0,000651
2018-06-19,48.02,47.33,48.5,46.73,924874.0,000651
2018-06-20,47.22,47.88,48.19,46.88,504058.0,000651
2018-06-21,47.89,47.86,48.84,47.66,489259.0,000651
2018-06-22,47.5,48.06,48.11,46.86,457005.0,000651
2018-06-25,48.25,47.76,48.99,47.55,512314.0,000651
2018-06-26,47.1,47.3,47.76,46.62,483896.0,000651
2018-06-27,47.36,45.47,47.7,45.18,727079.0,000651
2018-06-28,44.9,45.18,45.92,44.71,514443.0,000651
2018-06-29,45.6,47.15,47.2,45.2,485876.0,000651
2018-07-02,47.0,45.35,47.0,44.98,628945.0,000651
2018-07-03,45.37,44.6,45.71,43.11,807296.0,000651
2018-07-04,44.63,43.18,44.87,42.9,551887.0,000651
2018-07-05,43.8,43.41,44.53,43.34,520833.0,000651
2018-07-06,43.79,44.2,44.68,43.31,487745.0,000651
2018-07-09,44.78,46.02,46.15,44.41,608381.0,000651
2018-07-10,46.02,45.88,46.18,45.33,387568.0,000651
2018-07-11,44.8,45.29,45.64,44.4,312298.0,000651
2018-07-12,45.15,46.1,46.72,45.15,441354.0,000651
2018-07-13,46.27,46.46,46.75,46.1,368463.0,000651
2018-07-16,46.71,46.45,47.2,46.06,304503.0,000651
